CRVS strategic objective 1: Strengthen a best practice CR system for notification and registration of deaths,,,,,,,,,,,,,,
Intervention 1,Support facility-based and community-based reporting systems to notify vital events to the CR system,,,,,,,,,,,,,
Activity/Sub-activity,LEAD Institution,Notes/Description,Unit,Quantity,Participants,Days,Unit cost ($),Cost,Source of funding,,Indicator,Remarks,,
,,,,,,,,($),,Reference for Cost Information,,,,
BUDGET FOR eDRS SITES,,,,,,,,,,,,,,
Launch cascade MCCOD trainings for 4 pilot districts for district and central hospital level clinicians ,,Chitipa: conduct a cascade of trainings for district hospital clinicians (16 COs; 4 DHO/DC staff; 2 MDs will be trained at Master Trainer)),Trainings,,,,,,,,Total trainings for Chitipa district hospital clinicians conducted,,,
,,Allowance for for trainees (16) and district-level support staff (4),Per diem,1,20,2,0,0,,"Per diem of K20,000",Total number of clinicians trained ,No need for per diem for district hospital staff,"I SEE YOU'VE ELIMINATED LUNCH ALLOWANCES AND INCREASED VENUE COSTS. IT WOULD BE VERY HELPFUL IF YOU ADDED COMMENTS TO LET ME KNOW OF THESE CHANGES (AS IT OTHERWISE TAKES A WHILE TO FIGURE OUT), AS WELL AS EXPLAINING WHY. DOES THIS MEAN NO ALLOWANCES AT ALL WILL BE GIVEN? WHERE DID THE IDEA OF A LUNCH ALLOWANCE FIRST COME IN? WHY THE CHANGES? WHAT IS STANDARD? WHAT IS ACCORDING TO LAW? For district hospital  staff the hospital is their duty station, the travel everyday to work at the hospital hence no need for per diems. As for the venue, can either provide lunch allowance or provide lunch. Considering that it is a training with a tight time schedule, it works well if luncg is provided. ",
,,Allowance for central level trainees/supervisors,Per diem,1,4,3,28,336,,"Per diem of K20,000",Total number of clinicians performing satisfactorily on post-test - AND - showing improvement between pretest and post-test ,"Based on 2-day training, 2-days travel? YES",See the DSA guidelines attached,
,,Incidentals allowance for central level trainees/supervisors,Incidental allowance,1,4,3,1,12,,Incidental of K750 per person per day,,,PLEASE EXPLAIN THIS. CONFUSING WHY WE HAVE A BUDGET LINE FOR $12 WORTH OF ?? See the DSA guidelines attached,
,,"Venue rentals, refreshments and lunch",Venue,1,24,2,15,720,,"About K10,000 per person",,"16 participants, 4 central level, 4 DHO/DC ",WHERE DID YOU GET THE ESTIMATE FOR THIS UNIT COST Estimated based on standard hotel rates,
,,Training materials,Printing,1,24,1,8,192,,Approximate price based on costs for registers,,,,
,,"Stationery (pens, note pads, markers, flip charts etc)",,,,,,,,,,,,
,,i. Pens,Box of 100,1,1,1,8,8,,,,,,
,,ii. Note pads,Each,1,24,1,1,24,,,,"Isn't this typically included in venue rental? Depends on the venue, district level venues will not provide. For venues that provides the pads are small not adequate for notes ",,
,,iii. Markers,Box of 10 ,1,1,1,5,5,,,,,,
,,iii. Flip charts,Each,2,1,1,3,6,,,,,,
,,Accommodation (included in per diem),,,,,,,,,,,,
,,Transport,,,,,,0,,,,,,
,,i. Central level ,Fuel,1,1,1,227,227,,K815 per litre,,For 1 vehicles,,
,,ii. District,Fuel,2,1,2,29,116,,K815 per litre,,For 1 vehicles,,
,,iii. Reimbursement,Reimbursement,1,6,2,4,48,,,Assuming 6 will need transport to get to the venue,What are the in-district fuel costs? Row number 20 above,WE NEED A COST ESTIMATE. I have assumed 6 will need transport,
,,Total Cost - Chitipa District,,,24,,71,1694,,,,,,
,,Lilongwe: conduct a cascade of trainings for KCH clinicians (67 MDs; 79 COs; 10 DHO/DC representatives; 3 MDs trained at Master Training) ,Trainings,,,,,,,,,,,
,,Allowance for for trainees (146 trainees) + district-level support staff (2 per training),Per diem,5,31,2,0,0,,,,,SAME ISSUE AS ABOVE Same response,
,,Allowance for central level trainees/supervisors,Per diem,5,4,2,0,0,,,,,DO WE NOT NEED INCIDENTALS FOR LILONGWE? No for KCH training,
,,"Venue rentals, refreshments and lunch",Venue,5,37,2,25,9250,,,,"29 participants, 4 central level, 4 KCH officers per session. Done",,
,,Training materials,Printing,1,146,1,8,1168,,,,,,
,,"Stationery (pens, note pads, markers, flip charts etc)",Stationery,,,,,0,,,,,,
,,i. Pens,Box of 100,2,1,1,8,16,,,,,,
,,ii. Note pads,Each,1,146,1,1,146,,,,,29.2,
,,iii. Markers,Box of 10,2,1,1,5,10,,,,,,
,,iii. Flip charts,Each,10,1,1,3,30,,,,,,
,,Accommodation,,,,,,0,,,,,,
,,Transport,,,,,,0,,,,,,
,,i. Central level ,Fuel,5,1,1,29,145,,,,For 1 vehicles,,
,,ii. District,Fuel,5,1,1,29,145,,,,For 1 vehicles,,
,,iii. Reimbursement,Reimbursemenet,5,6,2,4,240,,,Assuming 20% will need transport,146 participants,WE NEED A COST ESTIMATE. 20% of trainees,
,,Total Cost - KCH,,,175,,64,11150,,,,,,
,,Ntcheu: conduct a cascade of trainings for district hospital clinicians (22 COs; 46 Mas; 6 DHO/DC reps; 2 MDs will be trained at Master Training),Trainings,,,,,,,,,,,
,,Allowance for for trainees (22-23) and district-level support staff (2 per training),Per diem,3,25,2,0,0,,,,,SAME. Same response,
,,Allowance for central level trainees/supervisors,Per diem,3,4,3,28,1008,,,,,THREE DAYS FOR NTCHEU?  ,
,,Incidentals allowance for central level trainees/supervisors,Incidental allowance,3,4,3,1,36,,,,,SAME. Same response,
,,"Venue rentals, refreshments and lunch",Venue,3,32,2,15,2880,,,,"24 participants, 4 central level, 4 DHO. Done",SAME. Same response,
,,Training materials,Printing,1,87,1,8,696,,,,,,
,,"Stationery (pens, note pads, markers, flip charts etc)",Stationery,,,,,0,,,,,,
,,i. Pens,Box of 100,1,1,1,8,8,,,,,,
,,ii. Note pads,Each,1,87,1,1,87,,,,,,
,,iii. Markers,Box of 10,2,1,1,5,10,,,,,,
,,iii. Flip charts,Each,6,1,1,3,18,,,,,,
,,Accommodation (included in per diem),,,,,,0,,,,,,
,,Transport,,,,,,0,,,,,,
,,i. Central level ,Fuel,3,1,1,55,165,,K815 per litre,,For 1 vehicles,,
,,ii. District,Fuel,6,1,1,29,174,,K815 per litre,,For 1 vehicles,,
,,iii. Reimbursement,Reimbursement,3,4,2,4,96,,,Assuming 14% will need transport,13,SAME. 14% of trainees,
,,Total Cost - Ntcheu District,,,87,,60,5178,,,,,,
